id;full_name;phone;wilaya;city;address_line;is_default
1;cocorico;+33 466320863;lorsque à l'entour de lectorat;Chambéry;coin-coin porte-parole à peu près;true
2;soudain prout pendant que;+33 272845376;quelquefois conseiller;Le Tampon;que employer;true
3;au-dessus;0592797937;rejeter;Neuilly-sur-Seine;blablabla;false
4;du moment que à seule fin de;0601597163;au-dessous déterminer;Vitry-sur-Seine;derrière;true
5;miaou assez boum;+33 219385565;jeune enfant alentour;Nanterre;émettre triathlète à la merci;true
6;de crainte que;+33 110947420;considérable carrément achever;Beauvais;lectorat;false
7;aujourd'hui lécher;0370117399;rectorat;Montpellier;à défaut de;true
8;honorer;+33 682009604;quoique divinement bè;Lille;main-d’œuvre meuh tôt;true
9;blablabla;+33 287635097;en plus de;Antony;simple tellement neutre;false
10;à condition que en dehors de;+33 620331073;avant;Clermont-Ferrand;très;false
